@relation nivel_atividade_fisica-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute idade numeric
@attribute horas_sono numeric
@attribute passos_diarios numeric
@attribute horas_sentado numeric
@attribute freq_exercicio_semana numeric
@attribute imc numeric
@attribute horas_tela numeric
@attribute consumo_agua_litros numeric
@attribute nivel_atividade {Sedentario,Moderadamente_Ativo,Ativo}

@data
0.033333,0.676923,0.462167,0.222973,0.714286,0.273462,0.226277,0.595745,Ativo
0.016667,0.723077,0.509667,0.209459,0.571429,0.192926,0.131387,0.489362,Ativo
0.15,0.630769,0.490067,0.310811,0.571429,0.118971,0.20438,0.510638,Ativo
0.566667,0.292308,0.037933,0.689189,0.347814,0.33119,0.49635,0.191489,Sedentario
0.533333,0.246154,0.1054,0.662162,0,0.482315,0.591241,0.191489,Sedentario
0.316667,0.553846,0.313767,0.317568,0.428571,0.282958,0.350365,0.531915,Moderadamente_Ativo
0.25,0.615385,0.352533,0.101351,0.714286,0.241158,0.094891,0.723404,Ativo
0.15,0.523077,0.077133,0.702703,0.347814,0.418006,0.437956,0.191489,Sedentario
0.15,0.553846,0.2158,0.405405,0.285714,0.273462,0.160584,0.234043,Moderadamente_Ativo
0.316667,0.753846,0.2333,0.506757,0.285714,0.273462,0.211679,0.382979,Moderadamente_Ativo
0.25,0.384615,0.077,0.736486,0,0.241158,0.722628,0.148936,Sedentario
0.183333,0.538462,0.095033,0.844595,0,0.427653,0.613139,0.297872,Sedentario
0.083333,0.692308,0.3734,0.094595,0.714286,0.157556,0.211679,0.638298,Ativo
0.566667,0.615385,0.252967,0.452703,0.571429,0.212219,0.518248,0.170213,Moderadamente_Ativo
0.433333,0.461538,0.068967,0.662162,0,0.324759,0.481752,0.297872,Sedentario
0.066667,0.569231,0.430367,0.331081,0.857143,0.205788,0.218978,0.531915,Ativo
0.383333,0.584615,0.003267,0.668919,0,0.038585,0.817518,0.361702,Sedentario
0.216667,0.461538,0.175133,0.351351,0.285714,0.205788,0.459854,0.340426,Moderadamente_Ativo
0.15,0.723077,0.283467,0.344595,0.571429,0.07074,0.364964,0.255319,Moderadamente_Ativo
0.733333,0.353846,0.032433,0.547297,0,0.350482,0.583942,0.319149,Sedentario
0.25,0.8,0.261533,0.277027,0.571429,0.115756,0.153285,0.360914,Ativo
0.65,0.507692,0.104867,0.75,0.142857,0.485531,0.562044,0.191489,Sedentario
0.166667,0.554626,0.2758,0.189189,0.714286,0.212219,0.374881,0.446809,Ativo
0.516667,0.261538,0.1126,0.635135,0,0.40836,0.642336,0.191489,Sedentario
0.5,0.676923,0.083933,0.75,0.142857,0.421222,0.467153,0.148936,Sedentario
0.2,0.4,0.1746,0.412162,0.571429,0.176849,0.374881,0.574468,Moderadamente_Ativo
0.316667,0.261538,0.049067,0.567568,0,0.392283,0.510949,0.042553,Sedentario
0.783333,0.338462,0.044467,0.641892,0.347814,0.308682,0.686131,0.12766,Sedentario
0.366667,0.646154,0.205367,0.432432,0.285714,0.282958,0.416058,0.340426,Moderadamente_Ativo
0.05,0.815385,0.3263,0.222973,0.714286,0.14791,0.291971,0.744681,Ativo
0.35,0.169231,0.1171,0.689189,0,0.472669,0.678832,0.276596,Sedentario
0.616667,0.476923,0.197267,0.412162,0.571429,0.241158,0.262774,0.382979,Moderadamente_Ativo
0.15,0.461538,0.114033,0.47973,0,0.398714,0.635036,0.106383,Sedentario
0.433333,0.415385,0.231662,0.547297,0.285714,0.305466,0.29927,0.468085,Moderadamente_Ativo
0.316667,0.753846,0.414967,0.222973,0.714286,0.14791,0.036496,0.574468,Ativo
0.066667,0.569231,0.284533,0.141892,0.857143,0.180064,0.233577,0.446809,Ativo
0.633333,0.446154,0.095433,0.662162,0.347814,0.55627,0.554745,0.106383,Sedentario
0.283333,0.523077,0.231662,0.148649,0.571429,0.157556,0.094891,0.553191,Ativo
0.133333,0.707692,0.422767,0.371622,0.571429,0.266881,0.284672,0.638298,Ativo
0.1,0.6,0.1895,0.506757,0.285714,0.270096,0.270073,0.404255,Moderadamente_Ativo
0.716667,0.230769,0.042667,0.601351,0,0.524116,0.374881,0.276596,Sedentario
0.233333,0.292308,0.0663,0.621622,0,0.401929,0.510949,0.234043,Sedentario
0.683333,0.323077,0.155067,0.601351,0,0.356913,0.693431,0.12766,Sedentario
0.133333,0.538462,0.193433,0.324324,0.428571,0.160772,0.357664,0.382979,Moderadamente_Ativo
0.633333,0.4,0.081833,0.452703,0,0.446945,0.70073,0.021277,Sedentario
0.916667,0.292308,0.1205,0.662162,0,0.334405,0.547445,0.212766,Sedentario
0,0.569231,0.1609,0.364865,0.285714,0.334405,0.226277,0.297872,Moderadamente_Ativo
0.016667,0.953846,0.466567,0.182432,0.714286,0.234727,0.248175,0.659574,Ativo
0.35,0.507692,0.574767,0.141892,0.857143,0.144695,0.145985,0.531915,Ativo
0.25,0.707692,0.240433,0.452703,0.428571,0.151125,0.226277,0.382979,Moderadamente_Ativo
0.3,0.553846,0.3426,0.114865,0.714286,0.093248,0.175182,0.510638,Ativo
0,0.661538,0.3488,0.202703,0.857143,0.292605,0.175182,0.382979,Ativo
0.066667,1,0.465333,0.405405,0.714286,0.122186,0.226277,0.659574,Ativo
0.05,0.584615,0.266667,0.141892,0.571429,0.093248,0.145985,0.489362,Ativo
0.2,0.353846,0.2053,0.432432,0.428571,0.118971,0.291971,0.659574,Moderadamente_Ativo
0.116667,0.876923,0.25,0.371622,0.428571,0.231511,0.364964,0.404255,Moderadamente_Ativo
0,0.738462,0.308833,0.209459,0.571429,0.234727,0.218978,0.489362,Ativo
0.183333,0.446154,0.276767,0.358108,0.347814,0.263666,0.357664,0.468085,Moderadamente_Ativo
0,0.584615,0.2729,0.432432,0.428571,0.135048,0.211679,0.382979,Moderadamente_Ativo
0.033333,0.553846,0.281833,0.547297,0.285714,0.128617,0.29927,0.468085,Moderadamente_Ativo
0.333333,0.492308,0.193433,0.358108,0.428571,0.189711,0.474453,0.319149,Moderadamente_Ativo
0.616667,0.046154,0.004,1,0,1,1,0,Sedentario
0.366667,0.615385,0.463567,0.195946,0.571429,0.144695,0.284672,0.404255,Ativo
0.483333,0.554626,0.242367,0.574324,0.428571,0.340836,0.233577,0.319149,Moderadamente_Ativo
0.233333,0.492308,0.097433,0.614865,0.142857,0.356913,0.532847,0.360914,Sedentario
0.433333,0.523077,0.225867,0.5,0.347814,0.205788,0.350365,0.340426,Moderadamente_Ativo
0.25,0.554626,0.231662,0.655405,0,0.424437,0.868613,0.148936,Sedentario
0.5,0.292308,0.107867,0.5,0,0.450161,0.766423,0.170213,Sedentario
0.133333,0.492308,0.212167,0.540541,0.285714,0.234727,0.374881,0.255319,Moderadamente_Ativo
0.516667,0.492308,0.229933,0.418919,0.428571,0.099678,0.20438,0.404255,Moderadamente_Ativo
0.316667,0.507692,0.291567,0.574324,0.571429,0.324759,0.262774,0.468085,Moderadamente_Ativo
0.716667,0.476923,0.070967,0.533784,0.347814,0.302251,0.423358,0.148936,Sedentario
0.583333,0.292308,0.084333,0.567568,0,0.209003,0.474453,0.06383,Sedentario
0.533333,0.2,0.054767,0.743243,0,0.491961,0.583942,0.170213,Sedentario
0.65,0.276923,0.1083,0.628378,0,0.498392,0.459854,0.212766,Sedentario
0.35,0.676923,0.261867,0.47973,0.428571,0.273462,0.291971,0.361702,Moderadamente_Ativo
0.3,0.907692,0.453667,0.195946,0.714286,0.093248,0.072993,0.617021,Ativo
0.55,0.415385,0.153333,0.635135,0,0.475884,0.671533,0.042553,Sedentario
0.483333,0.615385,0.2583,0.398649,0.285714,0.273312,0.328467,0.404255,Moderadamente_Ativo
0.416667,0.6,0.1883,0.405405,0.285714,0.334405,0.423358,0.446809,Moderadamente_Ativo
0,0.630769,0.2646,0.472973,0.285714,0.376206,0.20438,0.360914,Moderadamente_Ativo
0.75,0.061538,0.072,0.608108,0,0.292605,0.452555,0.319149,Sedentario
0.05,0.553846,0.286633,0.412162,0.571429,0.167203,0.350365,0.340426,Moderadamente_Ativo
0.4,0.707692,0.427167,0.040541,0.714286,0.273462,0.374881,0.319149,Ativo
0.15,0.292308,0.078933,0.662162,0,0.446945,0.437956,0.297872,Sedentario
0.716667,0.554626,0.231662,0.824324,0,0.549839,0.671533,0.085106,Sedentario
0.35,0.276923,0.084567,0.547297,0,0.167203,0.70073,0.212766,Sedentario
0.2,0.138462,0.059333,0.790541,0,0.356913,0.430657,0.12766,Sedentario
0.35,0.554626,0.043567,0.831081,0,0.559486,0.59854,0.191489,Sedentario
0.45,0.4,0.086033,0.668919,0.142857,0.440514,0.547445,0.042553,Sedentario
0,0.569231,0.231662,0.040541,0.571429,0.122186,0.072993,0.319149,Ativo
0.716667,0.123077,0.071533,0.533784,0,0.273462,0.532847,0.191489,Sedentario
0.633333,0.476923,0.100867,0.702703,0.142857,0.327974,0.737226,0.191489,Sedentario
0.216667,0.492308,0.1924,0.391892,0.428571,0.106109,0.350365,0.446809,Moderadamente_Ativo
0.1,0.692308,0.4109,0.27027,0.571429,0.263666,0.109489,0.425532,Ativo
0.166667,0.554626,0.486233,0.121622,0.714286,0.135048,0.10219,0.553191,Ativo
0.516667,0.615385,0.231662,0.256757,0.428571,0.170418,0.518248,0.468085,Moderadamente_Ativo
0.55,0.492308,0.201967,0.351351,0.285714,0.215434,0.270073,0.276596,Moderadamente_Ativo
0.366667,0.692308,0.1995,0.472973,0.428571,0.414791,0.374881,0.319149,Moderadamente_Ativo
0.55,0.384615,0.099333,0.432432,0,0.501608,0.408759,0.276596,Sedentario
0.183333,0.753846,0.273433,0.425676,0.428571,0.11254,0.262774,0.468085,Moderadamente_Ativo
0.25,0.630769,0.232267,0.527027,0.285714,0.209003,0.211679,0.276596,Moderadamente_Ativo
0.066667,0.646154,0.1716,0.304054,0.285714,0.305466,0.131387,0.404255,Moderadamente_Ativo
0.066667,0.661538,0.377133,0.182432,0.714286,0.180064,0.182482,0.531915,Ativo
0.3,0.507692,0.232933,0.5,0.285714,0.273462,0.554745,0.234043,Moderadamente_Ativo
0.3,0.646154,0.286967,0.418919,0.428571,0.157556,0.554745,0.510638,Moderadamente_Ativo
0.333333,0.523077,0.255733,0.506757,0.428571,0.135048,0.437956,0.404255,Moderadamente_Ativo
0.333333,0.554626,0.505467,0.114865,0.347814,0.192926,0.182482,0.595745,Ativo
0.45,0.569231,0.2529,0.425676,0.285714,0.086817,0.182482,0.148936,Moderadamente_Ativo
0.45,0.584615,0.194567,0.459459,0.285714,0.421222,0.489051,0.446809,Moderadamente_Ativo
0.083333,0.630769,0.503367,0.391892,0.571429,0.090032,0.233577,0.468085,Ativo
0.2,0.769231,0.4,0.594595,0.714286,0.601286,0.510949,0.042553,Ativo
0.65,0.430769,0,0.52027,0,0.623794,0.437956,0.042553,Sedentario
0.5,0.676923,0.208133,0.472973,0.428571,0.247588,0.20438,0.340426,Moderadamente_Ativo
0.083333,0.738462,0.231662,0.317568,0.857143,0.192926,0.160584,0.680851,Ativo
0.333333,0.4,0.218667,0.527027,0.571429,0.263666,0.540146,0.297872,Moderadamente_Ativo
0.233333,0.615385,0.231662,0.168919,0.857143,0.080386,0,0.489362,Ativo
0.283333,0.554626,0.1016,0.824324,0,0.475884,0.510949,0.12766,Sedentario
0.133333,0.446154,0.062333,0.506757,0,0.254019,0.781022,0.255319,Sedentario
0.116667,0.892308,0.4061,0.216216,0.857143,0.151125,0.226277,0.595745,Ativo
0.333333,0.523077,0.334033,0.209459,1,0.067524,0.065693,0.595745,Ativo
0.25,0.753846,0.3002,0.27027,0.571429,0.163987,0.138686,0.723404,Ativo
0.116667,0.815385,0.425967,0.25,0.571429,0.141479,0.277372,0.595745,Ativo
0,0.4,0.0746,0.709459,0.142857,0.549839,0.554745,0.085106,Sedentario
0.733333,0.630769,0.043267,0.702703,0,0.543408,0.474453,0.234043,Sedentario
0.083333,0.630769,0.453233,0.054054,0.571429,0.286174,0.116788,0.574468,Ativo
0.116667,0.676923,0.262167,0.452703,0.285714,0.212219,0.306569,0.446809,Moderadamente_Ativo
0.566667,0.554626,0.245233,0.331081,0.285714,0.337621,0.350365,0.510638,Moderadamente_Ativo
0.15,0.492308,0.305633,0.141892,0.714286,0.115756,0.124088,0.638298,Ativo
0,0.661538,0.2961,0.216216,0.714286,0.173633,0.182482,0.659574,Ativo
0.333333,0.723077,0.0965,0.587838,0,0.530547,0.656934,0.042553,Sedentario
0.683333,0.630769,0.096833,0.533784,0,0.466238,0.437956,0.234043,Sedentario
0.416667,0.8,0.461167,0.067568,0.714286,0.157556,0.189781,0.510638,Ativo
0.416667,0.554626,0.082233,0.574324,0,0.482315,0.474453,0.170213,Sedentario
0,0.6,0.205933,0.52027,0.285714,0.244373,0.284672,0.531915,Moderadamente_Ativo
0.183333,0.938462,0.408167,0.189189,0.571429,0.125402,0.211679,0.808511,Ativo
0.65,0.307692,0.069567,0.466216,0,0.07074,0.40146,0.234043,Sedentario
0.083333,0.784615,0.231662,0.128378,0.714286,0.189711,0.19708,0.489362,Ativo
0.25,0.646154,0.090467,0.635135,0,0.585209,0.80292,0.319149,Sedentario
0,0.723077,0.366333,0.074324,0.857143,0.241158,0.160584,0.659574,Ativo
0.283333,0.569231,0.309133,0.27027,0.571429,0.109325,0.284672,0.553191,Ativo
0.083333,0.307692,0.0126,0.668919,0,0.292605,0.649635,0.06383,Sedentario
0.333333,0.554626,0.303167,0.222973,0.714286,0.273462,0.218978,0.638298,Ativo
0.933333,0.384615,0.105833,0.540541,0,0.257235,0.510949,0.340426,Sedentario
0.183333,0.138462,0.0532,0.77027,0,0.26045,0.686131,0.12766,Sedentario
0.15,0.753846,0.503367,0.283784,0.714286,0.07717,0.138686,0.531915,Ativo
0,0.569231,0.2576,0.385135,0.428571,0.337621,0.364964,0.425532,Moderadamente_Ativo
0.3,0.784615,0.541067,0.155405,0.857143,0.286174,0.374881,0.468085,Ativo
0.433333,0.784615,0.3941,0.202703,0.714286,0.135048,0.014599,0.595745,Ativo
0.116667,0.6,0.2614,0.452703,0.571429,0.273462,0.138686,0.404255,Moderadamente_Ativo
0.6,0.554626,0.088633,0.587838,0,0.376206,0.722628,0.191489,Sedentario
0.783333,0.6,0.021667,0.783784,0.142857,0.565916,0.562044,0.106383,Sedentario
0,0.661538,0.366167,0.175676,0.857143,0.176849,0.109489,0.702128,Ativo
0.133333,0.554626,0.388767,0.141892,0.857143,0.061093,0.036496,0.574468,Ativo
0.333333,0.646154,0.182133,0.378378,0.285714,0.321543,0.240876,0.361702,Moderadamente_Ativo
0.133333,0.6,0.053033,0.790541,0,0.572347,0.583942,0.021277,Sedentario
0.433333,0.769231,0.277667,0.364865,0.428571,0.257235,0.270073,0.468085,Moderadamente_Ativo
0.35,0.707692,0.583267,0.202703,0.571429,0,0.211679,0.702128,Ativo
0.15,0.784615,0.283,0.290541,0.714286,0.131833,0.160584,0.360914,Ativo
0.3,0.323077,0.046533,0.621622,0,0.090032,0.569343,0.170213,Sedentario
0.183333,0.676923,0.197333,0.358108,0.428571,0.163987,0.182482,0.382979,Moderadamente_Ativo
0.35,0.523077,0.084733,0.5,0.142857,0.639871,0.510949,0.12766,Sedentario
0.233333,0.507692,0.335333,0.168919,0.571429,0.080386,0.19708,0.574468,Ativo
0.35,0.554626,0.276333,0.283784,0.428571,0.180064,0.474453,0.148936,Moderadamente_Ativo
0.133333,0.523077,0.222333,0.351351,0.428571,0.163987,0.343066,0.510638,Moderadamente_Ativo
0.266667,1,0.426867,0.054054,0.714286,0.21865,0.10219,0.489362,Ativo
0.483333,0.353846,0.294767,0.358108,0.428571,0.469453,0.547445,0.276596,Moderadamente_Ativo
0.533333,0.584615,0.118833,0.736486,0,0.22508,0.510949,0.170213,Sedentario
0.366667,0.692308,0.2183,0.263514,0.428571,0.163987,0.218978,0.446809,Moderadamente_Ativo
0.566667,0.615385,0.197533,0.297297,0.428571,0.254019,0.40146,0.234043,Moderadamente_Ativo
0.433333,0.554626,0.232867,0.432432,0.285714,0.289389,0.374881,0.446809,Moderadamente_Ativo
0.35,0.153846,0.076867,0.628378,0,0.472669,0.80292,0.191489,Sedentario
0.066667,0.938462,0.533067,0.202703,0.714286,0.221865,0.306569,0.617021,Ativo
0.8,0.553846,0.071833,0.608108,0,0.678457,0.627737,0.212766,Sedentario
0,0.415385,0.2134,0.459459,0.285714,0.321543,0.277372,0.340426,Moderadamente_Ativo
0.65,0.276923,0.081667,0.594595,0,0.44373,0.708029,0.12766,Sedentario
0.133333,0.553846,0.327067,0.128378,0.571429,0.160772,0.131387,0.382979,Ativo
0.316667,0.8,0.445967,0.162162,0.714286,0.151125,0.145985,0.489362,Ativo
0.133333,0.769231,0.407433,0.182432,0.571429,0.266881,0.043796,0.489362,Ativo
0.233333,0.384615,0.170133,0.378378,0.285714,0.22508,0.416058,0.319149,Moderadamente_Ativo
0.25,0.692308,0.093333,0.641892,0.142857,0.440514,0.620438,0.148936,Sedentario
0.366667,0.430769,0.2693,0.189189,0.428571,0.141479,0.189781,0.361702,Moderadamente_Ativo
0.066667,0.784615,0.395867,0.162162,0.714286,0.07074,0.240876,0.702128,Ativo
0.216667,0.169231,0.085233,0.743243,0.142857,0.337621,0.708029,0.170213,Sedentario
0.416667,0.492308,0.0485,0.547297,0,0.231511,0.810219,0.148936,Sedentario
0.55,0.738462,0.179833,0.452703,0.571429,0.189711,0.29927,0.319149,Moderadamente_Ativo
0.083333,0.553846,0.162633,0.452703,0.428571,0.305466,0.153285,0.510638,Moderadamente_Ativo
0.733333,0.107692,0.003167,0.959459,0,0.909968,0.970803,0.042553,Sedentario
0.533333,0.553846,0.065033,0.655405,0,0.40836,0.591241,0.319149,Sedentario
0.3,0.6,0.1293,0.277027,0.285714,0.122186,0.364964,0.404255,Moderadamente_Ativo
0.466667,0.661538,0.2425,0.52027,0.428571,0.279743,0.226277,0.680851,Moderadamente_Ativo
0.083333,0.4,0.192933,0.344595,0.285714,0.221865,0.423358,0.255319,Moderadamente_Ativo
0.25,0.415385,0.193167,0.52027,0.285714,0.382637,0.437956,0.340426,Moderadamente_Ativo
0.283333,0.661538,0.2517,0.317568,0.428571,0.356913,0.510949,0.382979,Moderadamente_Ativo
0.383333,0.430769,0.075867,0.756757,0,0.376206,0.474453,0.276596,Sedentario
0.283333,0.476923,0.4097,0.141892,0.714286,0.192926,0.116788,0.468085,Ativo
0.083333,0.553846,0.246767,0.277027,0.571429,0.202572,0.343066,0.510638,Moderadamente_Ativo
0.383333,0.415385,0.053,0.5,0.142857,0.151125,0.854015,0.234043,Sedentario
0,0.753846,0.2172,0.466216,0.571429,0.463023,0.262774,0.404255,Moderadamente_Ativo
0.8,0.569231,0.069867,0.608108,0,0.594855,0.686131,0.148936,Sedentario
0,0.476923,0.277067,0.412162,0.428571,0.244373,0.40146,0.319149,Moderadamente_Ativo
0.333333,0.507692,0.021033,0.648649,0,0.263666,0.642336,0.170213,Sedentario
0.05,0.738462,0.3727,0,0.857143,0.086817,0.211679,0.425532,Ativo
0.416667,0.538462,0.1679,0.574324,0,0.321543,0.839416,0.106383,Sedentario
0.25,0.661538,0.245933,0.439189,0.285714,0.189711,0.29927,0.553191,Moderadamente_Ativo
0.216667,0.507692,0.4783,0.317568,0.571429,0.141479,0.182482,0.659574,Ativo
0,0.815385,0.257267,0.364865,0.285714,0.131833,0.474453,0.319149,Moderadamente_Ativo
0.466667,0.676923,0.2539,0.364865,0.285714,0.279743,0.270073,0.319149,Moderadamente_Ativo
0.266667,0.584615,0.217867,0.472973,0.285714,0.151125,0.321168,0.255319,Moderadamente_Ativo
0.333333,0.323077,0.0651,0.756757,0.142857,0.321543,0.489051,0.212766,Sedentario
0.233333,0.630769,0.213333,0.398649,0.428571,0.038585,0.19708,0.382979,Moderadamente_Ativo
0.083333,0.630769,0.2213,0.445946,0.285714,0.234727,0.540146,0.360914,Moderadamente_Ativo
0.133333,0.646154,0.3493,0.22973,0.714286,0.131833,0.131387,0.702128,Ativo
0.133333,0.661538,0.297867,0.412162,0.428571,0.186495,0.374881,0.404255,Moderadamente_Ativo
0.466667,0.153846,0.1145,0.682432,0,0.366559,0.620438,0.212766,Sedentario
0.766667,0.261538,0.0254,0.608108,0,0.511254,0.49635,0.021277,Sedentario
0.2,0.338462,0.2155,0.405405,0.285714,0.064309,0.489051,0.319149,Moderadamente_Ativo
0.183333,0.692308,0.330967,0.236486,0.714286,0.173633,0.160584,0.531915,Ativo
0.166667,0.707692,0.2898,0.344595,0.285714,0.21865,0.386861,0.361702,Moderadamente_Ativo
0.183333,0.538462,0.435067,0.155405,0.347814,0.186495,0.248175,0.574468,Ativo
1,0.430769,0.0803,0.641892,0,0.273462,0.518248,0.12766,Sedentario
0.533333,0.307692,0.080333,0.574324,0,0.5209,0.642336,0.361702,Sedentario
0.333333,0.584615,0.578133,0.175676,0.714286,0.257235,0.124088,0.638298,Ativo
0.016667,0.738462,0.231662,0.175676,0.857143,0.173633,0.189781,0.510638,Ativo
0.866667,0.523077,0.066667,0.695946,0.142857,0.524116,0.374881,0.106383,Sedentario
0.1,0.446154,0.492,0.175676,0.571429,0.305466,0.255474,0.510638,Ativo
0.433333,0.338462,0.113733,0.662162,0.142857,0.199357,0.613139,0.255319,Sedentario
0.2,0.569231,0.321967,0.216216,0.857143,0.086817,0.226277,0.489362,Ativo
0.566667,0.738462,0.061933,0.527027,0,0.601286,0.656934,0.170213,Sedentario
0.316667,0.523077,0.238833,0.587838,0.285714,0.289389,0.321168,0.425532,Moderadamente_Ativo
0.2,0.707692,0.256433,0.412162,0.428571,0.138264,0.452555,0.360914,Moderadamente_Ativo
0.733333,0.276923,0.0886,0.601351,0.347814,0.572347,0.605839,0.170213,Sedentario
0.033333,0.646154,0.392667,0.060811,0.857143,0.151125,0.145985,0.723404,Ativo
0.333333,0.384615,0.272133,0.412162,0.285714,0.038585,0.321168,0.360914,Moderadamente_Ativo
0.566667,0.507692,0.2586,0.304054,0.571429,0.308682,0.374881,0.360914,Moderadamente_Ativo
0.133333,0.846154,0.4642,0.27027,0.571429,0.231511,0.270073,0.553191,Ativo
0.183333,0.553846,0.172833,0.364865,0.428571,0.379421,0.291971,0.276596,Moderadamente_Ativo
0,0.784615,0.2936,0.135135,0.571429,0.125402,0.094891,0.617021,Ativo
0.366667,0.584615,0.0369,0.817568,0,0.350482,0.374881,0.255319,Sedentario
0.333333,0.876923,0.365333,0.094595,0.714286,0.115756,0.007299,0.489362,Ativo
0.4,0.4,0.149333,0.47973,0,0.498392,0.613139,0.148936,Sedentario
0.35,0.692308,0.290633,0.304054,0.285714,0.254019,0.525547,0.404255,Moderadamente_Ativo
0.733333,0.276923,0,0.601351,0,0.090032,0.722628,0.191489,Sedentario
0.05,0.554626,0.436467,0.202703,0.571429,0.135048,0.109489,0.659574,Ativo
0.15,0.723077,0.5217,0.256757,0.571429,0.144695,0.145985,0.489362,Ativo
0.416667,0.138462,0.079833,0.682432,0.142857,0.202572,0.569343,0.170213,Sedentario
0.2,0.6,0.189967,0.405405,0.285714,0.389068,0.321168,0.170213,Moderadamente_Ativo
0.6,0.369231,0.0876,0.52027,0,0.37299,0.525547,0.255319,Sedentario
0.316667,0.369231,0.078233,0.702703,0,0.21865,0.627737,0.212766,Sedentario
0.35,0.738462,0.0462,0.432432,0,0.33119,0.467153,0.234043,Sedentario
0.233333,0.661538,0.234967,0.405405,0.285714,0.167203,0.335766,0.468085,Moderadamente_Ativo
0.183333,0.830769,0.337367,0.243243,0.714286,0.273462,0.109489,0.382979,Ativo
0.25,0.723077,0.486967,0.135135,0.714286,0.231511,0.160584,0.595745,Ativo
0.216667,0.6,0.208433,0.398649,0.428571,0.318328,0.374881,0.595745,Moderadamente_Ativo
0.233333,0.476923,0.231662,0.513514,0.428571,0.154341,0.372263,0.425532,Moderadamente_Ativo
0.25,0.307692,0.2818,0.364865,0.428571,0.340836,0.262774,0.489362,Moderadamente_Ativo
0.25,0.538462,0.2359,0.432432,0.285714,0.21865,0.262774,0.297872,Moderadamente_Ativo
0.116667,0.6,0.4197,0.310811,0.571429,0.26045,0.321168,0.446809,Ativo
0.083333,0.707692,0.380233,0.168919,0.571429,0.138264,0.167883,0.510638,Ativo
0.366667,0.230769,0.05,0.135135,0,0.273462,0.072993,0.787234,Sedentario
0.066667,0.723077,0.3083,0.439189,0.285714,0.289389,0.291971,0.446809,Moderadamente_Ativo
0.516667,0.4,0.067267,0.682432,0,0.546624,0.59854,0.191489,Sedentario
0.35,0.538462,0.250967,0.304054,0.428571,0.244373,0.262774,0.361702,Moderadamente_Ativo
