@RELATION nivel_atividade_fisica

@ATTRIBUTE idade INTEGER
@ATTRIBUTE horas_sono REAL
@ATTRIBUTE passos_diarios INTEGER
@ATTRIBUTE horas_sentado REAL
@ATTRIBUTE freq_exercicio_semana INTEGER
@ATTRIBUTE imc REAL
@ATTRIBUTE horas_tela REAL
@ATTRIBUTE consumo_agua_litros REAL
@ATTRIBUTE cor_roupa_favorita {Amarelo,Azul,Branco,Cinza,Preto,Roxo,Verde,Vermelho}
@ATTRIBUTE nivel_atividade {Sedentario,Moderadamente_Ativo,Ativo}

@DATA
27,6.8,8594,6.9,2,24.2,4.3,2.2,Branco,Moderadamente_Ativo
20,7.9,13865,4.3,5,?,3.6,3.1,Branco,Ativo
19,8.2,15290,4.1,4,22.8,2.3,2.6,Azul,Ativo
27,7.6,14702,5.6,4,20.5,3.3,2.7,Cinza,Ativo
52,5.4,1138,11.2,?,27.1,7.3,1.2,Amarelo,Sedentario
50,5.1,3162,10.8,0,31.8,8.6,1.2,Azul,Sedentario
37,7.1,9413,5.7,3,25.6,5.3,2.8,Vermelho,Moderadamente_Ativo
33,7.5,10576,2.5,5,24.3,1.8,3.7,Verde,Ativo
27,6.9,2314,11.4,?,29.8,6.5,1.2,Vermelho,Sedentario
27,7.1,6474,7,2,?,2.7,1.4,Roxo,Moderadamente_Ativo
37,8.4,6999,8.5,2,?,3.4,2.1,Verde,Moderadamente_Ativo
33,6,2310,11.9,0,24.3,10.4,1,Preto,Sedentario
29,7,2851,13.5,0,30.1,8.9,1.7,Branco,Sedentario
23,8,11202,2.4,5,21.7,3.4,3.3,Cinza,Ativo
52,7.5,7589,7.7,4,23.4,7.6,1.1,Verde,Moderadamente_Ativo
44,6.5,2069,10.8,0,26.9,7.1,1.7,Branco,Sedentario
22,7.2,12911,5.9,6,23.2,3.5,2.8,Branco,Ativo
41,7.3,98,10.9,0,18,11.7,2,Branco,Sedentario
31,6.5,5254,6.2,2,23.2,6.8,1.9,Cinza,Moderadamente_Ativo
27,8.2,8504,6.1,4,19,5.5,1.5,Amarelo,Moderadamente_Ativo
62,5.8,973,9.1,0,27.7,8.5,1.8,Amarelo,Sedentario
33,8.7,7846,5.1,4,20.4,2.6,?,Branco,Ativo
57,6.8,3146,12.1,1,31.9,8.2,1.2,Roxo,Sedentario
28,?,8274,3.8,5,23.4,?,2.4,Amarelo,Ativo
49,5.2,3378,10.4,0,29.5,9.3,1.2,Vermelho,Sedentario
48,7.9,2518,12.1,1,29.9,6.9,1,Amarelo,Sedentario
30,6.1,5238,7.1,4,22.3,?,3,Verde,Moderadamente_Ativo
37,5.2,1472,9.4,0,29,7.5,0.5,Preto,Sedentario
65,5.7,1334,10.5,?,26.4,9.9,0.9,Cinza,Sedentario
40,7.7,6161,7.4,2,25.6,6.2,1.9,Azul,Moderadamente_Ativo
21,8.8,9789,4.3,5,21.4,4.5,3.8,Amarelo,Ativo
39,4.6,3513,11.2,0,31.5,9.8,1.6,Azul,Sedentario
55,6.6,5918,7.1,4,24.3,4.1,2.1,Vermelho,Moderadamente_Ativo
27,6.5,3421,8.1,0,29.2,9.2,0.8,Amarelo,Sedentario
44,6.2,?,9.1,2,26.3,4.6,2.5,Vermelho,Moderadamente_Ativo
37,8.4,12449,4.3,5,21.4,1,3,Verde,Ativo
22,7.2,8536,3.1,6,22.4,3.7,2.4,Preto,Ativo
56,6.4,2863,10.8,?,34.1,8.1,0.8,Vermelho,Sedentario
35,6.9,?,3.2,4,21.7,1.8,2.9,Preto,Ativo
26,8.1,12683,6.5,4,25.1,4.4,3.3,Roxo,Ativo
24,7.4,5685,8.5,2,25.2,4.2,2.2,Roxo,Moderadamente_Ativo
61,5,1280,9.9,0,33.1,?,1.6,Roxo,Sedentario
32,5.4,1989,10.2,0,29.3,7.5,1.4,Preto,Sedentario
59,5.6,4652,9.9,0,27.9,10,0.9,Cinza,Sedentario
26,7,5803,5.8,3,21.8,5.4,2.1,Preto,Moderadamente_Ativo
56,6.1,2455,7.7,0,30.7,10.1,0.4,Verde,Sedentario
73,5.4,3615,10.8,0,27.2,8,1.3,Amarelo,Sedentario
18,7.2,4827,6.4,2,27.2,3.6,1.7,Cinza,Moderadamente_Ativo
19,9.7,13997,3.7,5,24.1,3.9,3.4,Preto,Ativo
39,6.8,17243,3.1,6,21.3,2.5,2.8,Preto,Ativo
33,8.1,7213,7.7,3,21.5,3.6,2.1,Azul,Moderadamente_Ativo
36,7.1,10278,2.7,5,19.7,2.9,2.7,Azul,Ativo
18,7.8,10464,4,6,25.9,2.9,2.1,Vermelho,Ativo
22,10,13960,7,5,20.6,3.6,3.4,Verde,Ativo
21,7.3,8000,3.1,4,19.7,2.5,2.6,Cinza,Ativo
30,5.8,6159,7.4,3,20.5,4.5,3.4,Cinza,Moderadamente_Ativo
25,9.2,7500,6.5,3,24,5.5,2.2,Amarelo,Moderadamente_Ativo
18,8.3,9265,4.1,4,24.1,3.5,2.6,Roxo,Ativo
29,6.4,8303,6.3,?,25,5.4,2.5,Verde,Moderadamente_Ativo
18,7.3,8187,7.4,3,21,3.4,2.1,Branco,Moderadamente_Ativo
20,7.1,8455,9.1,2,20.8,4.6,2.5,Verde,Moderadamente_Ativo
38,6.7,5803,6.3,3,22.7,7,1.8,Cinza,Moderadamente_Ativo
55,3.8,120,15.8,0,47.9,14.2,0.3,Cinza,Sedentario
40,7.5,13907,3.9,4,21.3,4.4,2.2,Cinza,Ativo
47,?,7271,9.5,3,27.4,3.7,1.8,Vermelho,Moderadamente_Ativo
32,6.7,2923,10.1,1,27.9,7.8,?,Preto,Sedentario
44,6.9,6776,8.4,?,23.2,5.3,1.9,Preto,Moderadamente_Ativo
33,?,?,10.7,0,30,12.4,1,Amarelo,Sedentario
48,5.4,3236,8.4,0,30.8,11,1.1,Vermelho,Sedentario
26,6.7,6365,9,2,24.1,?,1.5,Branco,Moderadamente_Ativo
49,6.7,6898,7.2,3,19.9,3.3,2.2,Preto,Moderadamente_Ativo
37,6.8,8747,9.5,4,26.9,4.1,2.5,Vermelho,Moderadamente_Ativo
61,6.6,2129,8.9,?,26.2,6.3,1,Preto,Sedentario
53,5.4,2530,9.4,0,23.3,7,0.6,Azul,Sedentario
50,4.8,1643,12,0,32.1,8.5,1.1,Cinza,Sedentario
57,5.3,3249,10.3,0,32.3,6.8,1.3,Cinza,Sedentario
39,7.9,7856,8.1,3,?,4.5,2,Cinza,Moderadamente_Ativo
36,9.4,13610,3.9,5,19.7,1.5,3.2,Roxo,Ativo
51,6.2,4600,10.4,0,31.6,9.7,0.5,Roxo,Sedentario
47,7.5,7749,6.9,2,25.3,5,2.2,Branco,Moderadamente_Ativo
43,7.4,5649,7,2,27.2,6.3,2.4,Roxo,Moderadamente_Ativo
18,7.6,7938,8,2,28.5,3.3,?,Azul,Moderadamente_Ativo
63,3.9,2160,10,0,25.9,6.7,1.8,Preto,Sedentario
21,7.1,8599,7.1,4,22,5.3,1.9,Vermelho,Moderadamente_Ativo
42,8.1,12815,1.6,5,?,?,1.8,Amarelo,Ativo
27,5.4,2368,10.8,0,30.7,6.5,1.7,Verde,Sedentario
61,?,?,13.2,0,33.9,9.7,0.7,Branco,Sedentario
39,5.3,2537,9.1,0,22,10.1,1.3,Roxo,Sedentario
30,4.4,1780,12.7,0,27.9,6.4,0.9,Preto,Sedentario
39,?,1307,13.3,0,34.2,8.7,1.2,Vermelho,Sedentario
45,6.1,2581,10.9,1,30.5,8,0.5,Branco,Sedentario
18,7.2,?,1.6,4,20.6,1.5,1.8,Preto,Ativo
61,4.3,2146,8.9,0,?,7.8,1.2,Vermelho,Sedentario
56,6.6,3026,11.4,1,27,10.6,1.2,Vermelho,Sedentario
31,6.7,5772,6.8,3,20.1,5.3,2.4,Preto,Moderadamente_Ativo
24,8,12327,5,4,25,2,2.3,Azul,Ativo
28,?,14587,2.8,5,21,1.9,2.9,Roxo,Ativo
49,7.5,?,4.8,3,22.1,7.6,2.5,Roxo,Moderadamente_Ativo
51,6.7,6059,6.2,2,23.5,4.2,1.6,Preto,Moderadamente_Ativo
40,8,5985,8,3,29.7,?,1.8,Branco,Moderadamente_Ativo
51,6,2980,7.4,0,32.4,6.1,1.6,Cinza,Sedentario
29,8.4,8203,7.3,3,20.3,4.1,2.5,Verde,Moderadamente_Ativo
33,7.6,6968,8.8,2,23.3,3.4,1.6,Cinza,Moderadamente_Ativo
22,7.7,5148,5.5,2,26.3,2.3,2.2,Roxo,Moderadamente_Ativo
22,7.8,11314,3.7,5,22.4,3,2.8,Branco,Ativo
36,6.8,6988,8.4,2,?,8.1,1.4,Verde,Moderadamente_Ativo
36,7.7,8609,7.2,3,21.7,8.1,2.7,Verde,Moderadamente_Ativo
38,6.9,7672,8.5,3,21,6.5,2.2,Preto,Moderadamente_Ativo
38,?,15164,2.7,?,22.8,3,3.1,Cinza,Ativo
45,7.2,7587,7.3,2,19.5,3,1,Verde,Moderadamente_Ativo
45,7.3,5837,7.8,2,29.9,7.2,2.4,Cinza,Moderadamente_Ativo
23,7.6,15101,6.8,4,19.6,3.7,2.5,Preto,Ativo
30,8.5,12000,9.8,5,35.5,7.5,0.5,Vermelho,Ativo
57,6.3,0,8.7,0,36.2,6.5,0.5,Roxo,Sedentario
48,7.9,6244,8,3,24.5,3.3,1.9,Branco,Moderadamente_Ativo
23,8.3,?,5.7,6,22.8,2.7,3.5,Preto,Ativo
38,6.1,6560,8.8,4,25,7.9,1.7,Amarelo,Moderadamente_Ativo
32,7.5,?,3.5,6,19.3,0.5,2.6,Roxo,Ativo
35,?,3048,13.2,0,31.6,7.5,0.9,Roxo,Sedentario
26,6.4,1870,8.5,0,24.7,11.2,1.5,Preto,Sedentario
25,9.3,12183,4.2,6,21.5,3.6,3.1,Cinza,Ativo
38,6.9,10021,4.1,7,18.9,1.4,3.1,Verde,Ativo
33,8.4,9006,5,4,21.9,2.4,3.7,Cinza,Ativo
25,8.8,12779,4.7,4,21.2,4.3,3.1,Vermelho,Ativo
18,6.1,2238,11.5,1,33.9,8.1,0.7,Verde,Sedentario
62,7.6,1298,11.4,0,33.7,7,1.4,Cinza,Sedentario
23,7.6,13597,1.8,4,25.7,2.1,3,Verde,Ativo
25,7.9,7865,7.7,2,23.4,4.7,2.4,Vermelho,Moderadamente_Ativo
52,?,7357,5.9,2,27.3,5.3,2.7,Cinza,Moderadamente_Ativo
27,6.7,9169,3.1,5,20.4,2.2,3.3,Cinza,Ativo
18,7.8,8883,4.2,5,22.2,3,3.4,Cinza,Ativo
38,8.2,2895,9.7,0,33.3,9.5,0.5,Verde,Sedentario
59,7.6,2905,8.9,0,31.3,6.5,1.4,Branco,Sedentario
43,8.7,13835,2,5,21.7,3.1,2.7,Amarelo,Ativo
43,?,2467,9.5,0,31.8,7,1.1,Azul,Sedentario
18,7.4,6178,8.7,2,24.4,4.4,2.8,Azul,Moderadamente_Ativo
29,9.6,12245,3.8,4,20.7,3.4,4.1,Amarelo,Ativo
57,5.5,2087,7.9,0,19,6,1.4,Azul,Sedentario
23,8.6,?,2.9,5,22.7,3.2,2.6,Azul,Ativo
33,7.7,2714,10.4,0,35,11.5,1.8,Vermelho,Sedentario
18,8.2,10990,2.1,6,24.3,2.7,3.4,Roxo,Ativo
35,7.2,9274,5,4,20.2,4.4,2.9,Amarelo,Ativo
23,5.5,378,10.9,0,25.9,9.4,0.6,Preto,Sedentario
38,?,9095,4.3,5,?,3.5,3.3,Roxo,Ativo
74,6,3175,9,0,24.8,7.5,1.9,Roxo,Sedentario
29,4.4,1596,12.4,0,24.9,9.9,0.9,Preto,Sedentario
27,8.4,15101,5.2,5,19.2,2.4,2.8,Roxo,Ativo
18,7.2,7728,6.7,3,27.3,5.5,2.3,Verde,Moderadamente_Ativo
36,8.6,16232,3.3,6,25.7,?,2.5,Vermelho,Ativo
44,8.6,11823,4,5,21,0.7,3.1,Roxo,Ativo
25,7.4,7842,7.7,4,?,2.4,2.2,Vermelho,Moderadamente_Ativo
54,?,2659,9.7,0,28.5,10.4,1.2,Preto,Sedentario
65,7.4,650,12.6,1,34.4,8.2,0.8,Preto,Sedentario
18,7.8,10985,3.6,6,22.3,2,3.6,Cinza,Ativo
26,?,11663,3.1,6,18.7,1,3,Amarelo,Ativo
38,7.7,5464,6.6,2,26.8,3.8,2,Branco,Moderadamente_Ativo
26,7.4,1591,12.7,0,34.6,8.5,0.4,Roxo,Sedentario
44,8.5,8330,6.4,3,24.8,4.2,2.5,Amarelo,Moderadamente_Ativo
39,8.1,17498,4,4,16.8,3.4,3.6,Preto,Ativo
27,8.6,8490,5.3,5,20.9,2.7,?,Cinza,Ativo
36,5.6,1396,10.2,0,19.6,8.3,1.1,Branco,Sedentario
29,7.9,5920,6.3,3,21.9,3,2.1,Azul,Moderadamente_Ativo
39,6.9,2542,8.4,1,36.7,7.5,0.9,Vermelho,Sedentario
32,6.8,10060,3.5,4,19.3,3.2,3,Preto,Ativo
39,?,8290,5.2,3,22.4,7,1,Cinza,Moderadamente_Ativo
26,6.9,6670,6.2,3,21.9,5.2,2.7,Preto,Moderadamente_Ativo
34,10,12806,1.8,5,23.6,1.9,2.6,Vermelho,Ativo
47,5.8,8843,6.3,3,31.4,8,1.6,Roxo,Moderadamente_Ativo
50,7.3,3565,11.9,0,23.8,7.5,1.1,Vermelho,Sedentario
40,8,6549,4.9,3,21.9,3.5,2.4,Preto,Moderadamente_Ativo
52,7.5,5926,5.4,3,24.7,6,1.4,Amarelo,Moderadamente_Ativo
44,?,6986,7.4,2,25.8,?,2.4,Vermelho,Moderadamente_Ativo
39,4.5,2306,10.3,0,31.5,11.5,1.2,Roxo,Sedentario
22,9.6,15992,4,5,23.7,4.7,3.2,Cinza,Ativo
66,7.1,2155,10,0,37.9,9.1,1.3,Vermelho,Sedentario
18,6.2,6402,7.8,2,26.8,4.3,1.9,Branco,Moderadamente_Ativo
57,5.3,2450,9.8,0,30.6,10.2,0.9,Vermelho,Sedentario
26,7.1,9812,2.9,4,21.8,2.3,2.1,Preto,Ativo
37,8.7,13379,3.4,5,21.5,2.5,2.6,Preto,Ativo
26,8.5,12223,3.7,4,25.1,1.1,2.6,Azul,Ativo
32,6,5104,6.6,2,23.8,6.2,1.8,Branco,Moderadamente_Ativo
33,8,2800,10.5,1,30.5,9,1,Preto,Sedentario
40,6.3,8079,3.8,3,21.2,3.1,2,Cinza,Moderadamente_Ativo
22,8.6,11876,3.4,5,19,3.8,3.6,Azul,Ativo
31,4.6,2557,12,1,27.3,10.2,1.1,Azul,Sedentario
43,6.7,1455,9.1,0,24,11.6,1,Preto,Sedentario
51,8.3,5395,7.7,4,22.7,4.6,1.8,Amarelo,Moderadamente_Ativo
23,7.1,4879,7.7,3,26.3,2.6,2.7,Preto,Moderadamente_Ativo
62,4.2,95,15.2,0,45.1,13.8,0.5,Branco,Sedentario
50,7.1,1951,10.7,0,29.5,8.6,1.8,Cinza,Sedentario
36,7.4,3879,5.1,2,20.6,5.5,2.2,Vermelho,Moderadamente_Ativo
46,7.8,7275,8.7,3,25.5,3.6,3.5,Branco,Moderadamente_Ativo
23,6.1,5788,6.1,2,23.7,6.3,1.5,Branco,Moderadamente_Ativo
33,6.2,5795,8.7,2,28.7,6.5,1.9,Branco,Moderadamente_Ativo
35,7.8,7551,5.7,3,27.9,7.5,2.1,Vermelho,Moderadamente_Ativo
41,6.3,2276,12.2,0,28.5,7,1.6,Preto,Sedentario
35,6.6,12291,3.1,5,22.8,2.1,2.5,Branco,Ativo
23,7.1,7403,5.1,4,23.1,5.2,2.7,Verde,Moderadamente_Ativo
41,6.2,1590,8.4,1,21.5,12.2,1.4,Cinza,Sedentario
18,8.4,6516,7.9,4,31.2,4.1,2.2,Branco,Moderadamente_Ativo
66,7.2,2096,10,0,35.3,9.9,1,Verde,Sedentario
18,6.6,8312,7.1,3,24.4,6,1.8,Roxo,Moderadamente_Ativo
38,6.8,631,10.6,0,25,9.3,1.1,Vermelho,Sedentario
21,8.3,11181,1,6,19.5,3.4,2.3,Cinza,Ativo
43,7,5037,9.5,0,26.8,12,0.8,Preto,Sedentario
33,7.8,7378,7.5,2,22.7,4.6,2.9,Branco,Moderadamente_Ativo
31,6.8,14349,5.7,4,21.2,3,3.4,Cinza,Ativo
18,8.8,7718,6.4,2,20.9,7,1.8,Vermelho,Moderadamente_Ativo
46,7.9,7617,6.4,2,25.5,4.2,1.8,Verde,Moderadamente_Ativo
34,7.3,6536,8,2,21.5,4.9,1.5,Vermelho,Moderadamente_Ativo
38,5.6,1953,12.2,1,26.8,7.2,1.3,Amarelo,Sedentario
32,7.6,6400,6.9,3,18,3.2,2.1,Azul,Moderadamente_Ativo
23,7.6,6639,7.6,2,24.1,7.9,?,Cinza,Moderadamente_Ativo
26,7.7,10479,4.4,5,20.9,2.3,3.6,Verde,Ativo
26,7.8,8936,7.1,3,22.6,?,2.2,Cinza,Moderadamente_Ativo
46,4.5,3435,11.1,0,28.2,9,1.3,Branco,Sedentario
64,5.2,762,10,0,32.7,7.3,0.4,Vermelho,Sedentario
30,5.7,6465,7,2,18.8,7.2,1.8,Amarelo,Moderadamente_Ativo
29,8,9929,4.5,5,22.2,2.7,2.8,Vermelho,Ativo
28,8.1,8694,6.1,2,23.6,5.8,2,Azul,Moderadamente_Ativo
29,7,13052,3.3,?,22.6,3.9,3,Verde,Ativo
78,6.3,2409,10.5,0,?,7.6,0.9,Branco,Sedentario
50,5.5,2410,9.5,0,33,9.3,2,Roxo,Sedentario
38,7.3,17344,3.6,5,24.8,2.2,3.3,Preto,Ativo
19,8.3,?,3.6,6,22.2,3.1,2.7,Verde,Ativo
70,6.9,2000,11.3,1,33.1,?,0.8,Azul,Sedentario
24,6.4,14760,3.6,4,26.3,4,2.7,Vermelho,Ativo
44,5.7,3412,10.8,1,23,8.9,1.5,Roxo,Sedentario
30,7.2,9659,4.2,6,19.5,3.6,2.6,Roxo,Ativo
52,8.3,1858,8.8,0,35.5,9.5,1.1,Amarelo,Sedentario
37,6.9,7165,9.7,2,25.8,4.9,2.3,Preto,Moderadamente_Ativo
30,8.1,7693,7.1,3,21.1,6.7,?,Branco,Moderadamente_Ativo
62,5.3,2658,9.9,?,34.6,8.8,1.1,Azul,Sedentario
20,7.7,11780,1.9,6,21.5,2.5,3.7,Verde,Ativo
38,6,8164,7.1,2,18,4.9,?,Verde,Moderadamente_Ativo
52,6.8,7758,5.5,4,26.4,?,?,Amarelo,Moderadamente_Ativo
26,9,13926,5,4,24,4.2,2.9,Preto,Ativo
29,7.1,5185,6.4,3,28.6,4.5,1.6,Preto,Moderadamente_Ativo
18,8.6,8808,3,4,20.7,1.8,3.2,Branco,Ativo
40,7.3,1107,13.1,0,27.7,?,1.5,Verde,Sedentario
38,9.2,10960,2.4,5,20.4,0.6,2.6,Cinza,Ativo
42,6.1,4480,8.1,0,32.3,8.9,1,Verde,Sedentario
39,8,8719,5.5,2,24.7,7.7,2.2,Cinza,Moderadamente_Ativo
62,5.3,0,9.9,0,19.6,10.4,1.2,Preto,Sedentario
21,?,13094,4,4,21,2,3.4,Cinza,Ativo
27,8.2,15651,4.8,4,21.3,2.5,2.6,Roxo,Ativo
43,4.4,2395,11.1,1,23.1,8.3,1.1,Amarelo,Sedentario
30,7.4,5699,7,2,28.9,4.9,1.1,Vermelho,Moderadamente_Ativo
54,5.9,2628,8.7,0,28.4,7.7,1.5,Cinza,Sedentario
37,5.9,2347,11.4,0,23.6,9.1,1.3,Cinza,Sedentario
39,8.3,1386,7.4,0,27.1,6.9,1.4,Branco,Sedentario
32,7.8,7049,7,2,22,5.1,2.5,Azul,Moderadamente_Ativo
29,8.9,10121,4.6,5,?,2,2.1,Branco,Ativo
33,8.2,14609,3,5,24,2.7,3.1,Preto,Ativo
31,7.4,6253,6.9,3,26.7,?,3.1,Azul,Moderadamente_Ativo
32,6.6,?,8.6,3,21.6,5.6,2.3,Vermelho,Moderadamente_Ativo
33,5.5,8454,6.4,3,27.4,4.1,2.6,Azul,Moderadamente_Ativo
33,7,7077,7.4,2,23.6,4.1,1.7,Preto,Moderadamente_Ativo
25,7.4,12591,5.6,4,24.9,4.9,2.4,Cinza,Ativo
23,8.1,11407,3.5,4,21.1,2.8,2.7,Roxo,Ativo
40,5,1500,3,0,?,1.5,4,Roxo,Sedentario
22,8.2,9249,7.5,2,25.8,4.5,2.4,Azul,Moderadamente_Ativo
49,6.1,2018,11.1,0,33.8,8.7,1.2,Preto,Sedentario
39,7,7529,5.5,3,24.4,4.1,2,Amarelo,Moderadamente_Ativo
27,8.6,16388,3.5,4,20.9,1.2,3.3,Branco,Ativo
18,7.9,13944,5.6,4,24.3,4.5,2.7,Azul,Ativo
42,8.7,15331,3,4,22.5,1.2,3.1,Branco,Ativo
40,9,13456,4.5,6,23,3.4,2.1,Preto,Ativo
57,5,1869,11.1,0,30.6,8.4,1,Azul,Sedentario
23,7.7,12138,2.9,4,22.2,2.6,2.7,Cinza,Ativo
35,7.7,7021,7,2,22.4,5.2,2,Verde,Moderadamente_Ativo
49,7,412,12.5,0,36.8,8.8,0.5,Verde,Sedentario
32,7.1,4480,8.2,2,22.8,4.8,2.3,Branco,Moderadamente_Ativo
26,6.3,3142,10.8,0,31.1,8.8,1.4,Preto,Sedentario
23,7.9,5233,10.1,3,25.1,3.9,1.9,Preto,Moderadamente_Ativo
74,5.7,2172,11.2,1,29.6,10.1,1.7,Amarelo,Sedentario
40,9.2,4978,6.7,2,21.2,3.6,2.2,Verde,Moderadamente_Ativo
41,8.2,10634,4.5,4,17,3.1,1.7,Azul,Ativo
45,6.7,6157,7.7,3,25.9,3.1,2.8,Azul,Moderadamente_Ativo
37,6.6,6394,7.9,3,27.7,7.7,2.5,Cinza,Moderadamente_Ativo
19,6.6,13134,4.6,4,21.2,2.8,3.7,Amarelo,Ativo
41,7,10471,4.3,5,22.7,2.1,3.5,Azul,Ativo
24,6.5,8074,5,3,21.6,4,2,Azul,Moderadamente_Ativo
56,5.5,2649,10.5,1,27.6,7.8,1.3,Cinza,Sedentario
47,7.5,1875,10.8,?,30.7,9.3,1.3,Azul,Sedentario
18,6,8369,9.2,2,28.1,3.6,1.7,Amarelo,Moderadamente_Ativo
38,6.8,1865,8,0,29.4,8.9,0.7,Preto,Sedentario
21,7.3,16090,3.6,5,19.5,1.3,2.9,Amarelo,Ativo
28,9.1,14669,4.9,5,23.7,2,3.2,Amarelo,Ativo
45,7.4,2639,11.1,0,31.1,9.5,1.6,Amarelo,Sedentario
37,7.9,11924,3.7,5,23.1,2.9,2.3,Roxo,Ativo
39,7,2750,9.1,0,32.4,5.8,1.3,Branco,Sedentario
39,7.1,7394,6.1,2,27.2,6.5,1.8,Vermelho,Moderadamente_Ativo
39,6.6,1433,10.1,0,33.2,11.4,1.3,Azul,Sedentario
27,8.8,15678,5.4,4,19.8,0.5,2.3,Roxo,Ativo
52,3.5,2737,11.8,0,?,11.5,1.3,Roxo,Sedentario
28,4.1,3083,12,0,27,5.9,1.3,Azul,Sedentario
26,5.9,9200,9.2,2,18.7,4.4,?,Azul,Moderadamente_Ativo
25,7.4,8097,7.8,3,20.3,7.3,1.8,Roxo,Moderadamente_Ativo
31,7.6,12872,1.5,4,24.1,1.9,3.2,Vermelho,Ativo
34,7.6,5714,8.3,3,24.3,6.7,?,Azul,Moderadamente_Ativo
68,7.4,?,6.4,3,18,5.7,2.8,Verde,Moderadamente_Ativo
27,8.2,6434,5,3,?,6.6,2.3,Vermelho,Moderadamente_Ativo
46,6.7,2453,8.7,0,27.1,6,0.9,Roxo,Sedentario
27,8.3,15026,4.7,5,20.9,3.2,2.5,Vermelho,Ativo
38,6.6,6928,8.4,2,20.7,5.3,2.3,Amarelo,Moderadamente_Ativo
53,6.5,7014,5.9,2,24,5,2.4,Azul,Moderadamente_Ativo
41,7.5,2797,11.3,0,28.2,6.6,1,Azul,Sedentario
42,7.5,4069,6.9,3,22.5,4,2.8,Azul,Moderadamente_Ativo
29,8.2,13925,3.8,5,20.5,2.5,3.2,Roxo,Ativo
21,8.9,14386,2.6,6,22.1,2.9,2.8,Cinza,Ativo
36,8,12365,4.4,5,25.2,1,3,Branco,Ativo
21,8.1,7144,5.7,2,25.2,4.4,3,Amarelo,Moderadamente_Ativo
22,7.9,?,5.6,4,23.5,1.1,2.7,Azul,Ativo
47,5.7,2027,10.3,0,26,8.7,1.1,Azul,Sedentario
44,7.3,6293,5.5,3,25.1,3.3,2.5,Azul,Moderadamente_Ativo
30,6.4,7232,6.7,3,22.9,3.1,?,Roxo,Moderadamente_Ativo
50,?,1503,11.7,0,28.8,11.5,0.7,Preto,Sedentario
30,8.6,12373,4.8,4,22.5,3.7,2.9,Cinza,Ativo
19,6.9,11681,4,5,20.9,1.9,3.2,Branco,Ativo
34,8.9,12375,5.8,6,22.9,4.1,2.7,Roxo,Ativo
39,7.5,6018,10.1,3,?,5.2,2.1,Preto,Moderadamente_Ativo
29,6.2,10000,5.1,4,23.2,4.9,1.8,Branco,Moderadamente_Ativo
51,5.7,3858,9.9,?,27.4,10.9,1.9,Azul,Sedentario
54,5.1,2219,8.2,0,31.9,7.7,1.7,Preto,Sedentario
